date,unit_sales,store_open,dow,dow_name,month,week,is_weekend,is_national_holiday,dcoilwtico
2013-04-28,719.0,1,6,Sunday,4,17,1,0,92.63
2013-04-29,411.0,1,0,Monday,4,18,0,1,94.09
2013-04-30,369.0,1,1,Tuesday,4,18,0,0,93.22
2013-05-01,705.0,1,2,Wednesday,5,18,0,1,90.74
2013-05-02,327.0,1,3,Thursday,5,18,0,0,93.7
2013-05-03,350.0,1,4,Friday,5,18,0,0,95.25
2013-05-04,774.0,1,5,Saturday,5,18,1,0,95.25
2013-05-05,715.0,1,6,Sunday,5,18,1,0,95.25
2013-05-06,416.0,1,0,Monday,5,19,0,0,95.8
2013-05-07,351.0,1,1,Tuesday,5,19,0,0,95.28
2013-05-08,418.0,1,2,Wednesday,5,19,0,0,96.24
2013-05-09,323.0,1,3,Thursday,5,19,0,0,96.09
2013-05-10,318.0,1,4,Friday,5,19,0,0,95.81
2013-05-11,666.0,1,5,Saturday,5,19,1,1,95.81
2013-05-12,548.0,1,6,Sunday,5,19,1,1,95.81
2013-05-13,331.0,1,0,Monday,5,20,0,0,94.76
2013-05-14,409.0,1,1,Tuesday,5,20,0,0,93.96
2013-05-15,471.0,1,2,Wednesday,5,20,0,0,93.95
2013-05-16,252.0,1,3,Thursday,5,20,0,0,94.85
2013-05-17,423.0,1,4,Friday,5,20,0,0,95.72
2013-05-18,600.0,1,5,Saturday,5,20,1,0,95.72
2013-05-19,758.0,1,6,Sunday,5,20,1,0,95.72
2013-05-20,399.0,1,0,Monday,5,21,0,0,96.29
2013-05-21,444.0,1,1,Tuesday,5,21,0,0,95.55
2013-05-22,455.0,1,2,Wednesday,5,21,0,0,93.98
2013-05-23,372.0,1,3,Thursday,5,21,0,0,94.12
2013-05-24,532.0,1,4,Friday,5,21,0,1,93.84
2013-05-25,392.0,1,5,Saturday,5,21,1,0,93.84
2013-05-26,532.0,1,6,Sunday,5,21,1,0,93.84
2013-05-27,291.0,1,0,Monday,5,22,0,0,93.84
2013-05-28,293.0,1,1,Tuesday,5,22,0,0,94.65
2013-05-29,420.0,1,2,Wednesday,5,22,0,0,93.13
2013-05-30,271.0,1,3,Thursday,5,22,0,0,93.57
2013-05-31,488.0,1,4,Friday,5,22,0,0,91.93
2013-06-01,777.0,1,5,Saturday,6,22,1,0,91.93
2013-06-02,656.0,1,6,Sunday,6,22,1,0,91.93
2013-06-03,462.0,1,0,Monday,6,23,0,0,93.41
2013-06-04,370.0,1,1,Tuesday,6,23,0,0,93.36
2013-06-05,459.0,1,2,Wednesday,6,23,0,0,93.66
2013-06-06,280.0,1,3,Thursday,6,23,0,0,94.71
2013-06-07,466.0,1,4,Friday,6,23,0,0,96.11
2013-06-08,904.0,1,5,Saturday,6,23,1,0,96.11
2013-06-09,794.0,1,6,Sunday,6,23,1,0,96.11
2013-06-10,511.0,1,0,Monday,6,24,0,0,95.82
2013-06-11,305.0,1,1,Tuesday,6,24,0,0,95.5
2013-06-12,475.0,1,2,Wednesday,6,24,0,0,95.98
2013-06-13,406.0,1,3,Thursday,6,24,0,0,96.66
2013-06-14,470.0,1,4,Friday,6,24,0,0,97.83
2013-06-15,747.0,1,5,Saturday,6,24,1,0,97.83
2013-06-16,481.0,1,6,Sunday,6,24,1,0,97.83
2013-06-17,424.0,1,0,Monday,6,25,0,0,97.86
2013-06-18,560.0,1,1,Tuesday,6,25,0,0,98.46
2013-06-19,361.0,1,2,Wednesday,6,25,0,0,98.24
2013-06-20,335.0,1,3,Thursday,6,25,0,0,94.89
2013-06-21,473.0,1,4,Friday,6,25,0,0,93.81
2013-06-22,502.0,1,5,Saturday,6,25,1,0,93.81
2013-06-23,770.0,1,6,Sunday,6,25,1,0,93.81
2013-06-24,484.0,1,0,Monday,6,26,0,0,95.07
2013-06-25,345.0,1,1,Tuesday,6,26,0,0,95.25
2013-06-26,555.0,1,2,Wednesday,6,26,0,0,95.47
2013-06-27,352.0,1,3,Thursday,6,26,0,0,97.0
2013-06-28,374.0,1,4,Friday,6,26,0,0,96.36
2013-06-29,489.0,1,5,Saturday,6,26,1,0,96.36
2013-06-30,669.0,1,6,Sunday,6,26,1,0,96.36
2013-07-01,422.0,1,0,Monday,7,27,0,0,97.94
2013-07-02,421.0,1,1,Tuesday,7,27,0,0,99.65
2013-07-03,510.0,1,2,Wednesday,7,27,0,0,101.92
2013-07-04,463.0,1,3,Thursday,7,27,0,0,101.92
2013-07-05,439.0,1,4,Friday,7,27,0,0,103.09
2013-07-06,590.0,1,5,Saturday,7,27,1,0,103.09
2013-07-07,665.0,1,6,Sunday,7,27,1,0,103.09
2013-07-08,265.0,1,0,Monday,7,28,0,0,103.03
2013-07-09,393.0,1,1,Tuesday,7,28,0,0,103.46
2013-07-10,550.0,1,2,Wednesday,7,28,0,0,106.41
2013-07-11,262.0,1,3,Thursday,7,28,0,0,104.77
2013-07-12,397.0,1,4,Friday,7,28,0,0,105.85
2013-07-13,466.0,1,5,Saturday,7,28,1,0,105.85
2013-07-14,449.0,1,6,Sunday,7,28,1,0,105.85
2013-07-15,484.0,1,0,Monday,7,29,0,0,106.2
2013-07-16,443.0,1,1,Tuesday,7,29,0,0,105.88
2013-07-17,469.0,1,2,Wednesday,7,29,0,0,106.39
2013-07-18,292.0,1,3,Thursday,7,29,0,0,107.94
2013-07-19,278.0,1,4,Friday,7,29,0,0,108.0
2013-07-20,605.0,1,5,Saturday,7,29,1,0,108.0
2013-07-21,817.0,1,6,Sunday,7,29,1,0,108.0
2013-07-22,295.0,1,0,Monday,7,30,0,0,106.61
2013-07-23,470.0,1,1,Tuesday,7,30,0,0,107.13
2013-07-24,431.0,1,2,Wednesday,7,30,0,0,105.41
2013-07-25,282.0,1,3,Thursday,7,30,0,0,105.47
2013-07-26,596.0,1,4,Friday,7,30,0,0,104.76
2013-07-27,548.0,1,5,Saturday,7,30,1,0,104.76
2013-07-28,700.0,1,6,Sunday,7,30,1,0,104.76
2013-07-29,414.0,1,0,Monday,7,31,0,0,104.61
2013-07-30,353.0,1,1,Tuesday,7,31,0,0,103.14
2013-07-31,570.0,1,2,Wednesday,7,31,0,0,105.1
2013-08-01,462.0,1,3,Thursday,8,31,0,0,107.93
2013-08-02,464.0,1,4,Friday,8,31,0,0,106.94
2013-08-03,657.0,1,5,Saturday,8,31,1,0,106.94
2013-08-04,681.0,1,6,Sunday,8,31,1,0,106.94
2013-08-05,461.0,1,0,Monday,8,32,0,0,106.61
2013-08-06,328.0,1,1,Tuesday,8,32,0,0,105.32
2013-08-07,403.0,1,2,Wednesday,8,32,0,0,104.41
2013-08-08,360.0,1,3,Thursday,8,32,0,0,103.45
2013-08-09,347.0,1,4,Friday,8,32,0,0,106.04
2013-08-10,570.0,1,5,Saturday,8,32,1,1,106.04
2013-08-11,662.0,1,6,Sunday,8,32,1,0,106.04
2013-08-12,423.0,1,0,Monday,8,33,0,0,106.19
2013-08-13,405.0,1,1,Tuesday,8,33,0,0,106.78
2013-08-14,454.0,1,2,Wednesday,8,33,0,0,106.89
2013-08-15,339.0,1,3,Thursday,8,33,0,0,107.43
2013-08-16,469.0,1,4,Friday,8,33,0,0,107.58
2013-08-17,495.0,1,5,Saturday,8,33,1,0,107.58
2013-08-18,681.0,1,6,Sunday,8,33,1,0,107.58
2013-08-19,376.0,1,0,Monday,8,34,0,0,107.14
2013-08-20,338.0,1,1,Tuesday,8,34,0,0,104.9
2013-08-21,330.0,1,2,Wednesday,8,34,0,0,103.93
2013-08-22,358.0,1,3,Thursday,8,34,0,0,104.93
2013-08-23,347.0,1,4,Friday,8,34,0,0,106.48
2013-08-24,644.0,1,5,Saturday,8,34,1,0,106.48
2013-08-25,813.0,1,6,Sunday,8,34,1,0,106.48
2013-08-26,636.0,1,0,Monday,8,35,0,0,105.88
2013-08-27,386.0,1,1,Tuesday,8,35,0,0,109.11
2013-08-28,613.0,1,2,Wednesday,8,35,0,0,110.17
2013-08-29,432.0,1,3,Thursday,8,35,0,0,108.51
2013-08-30,410.0,1,4,Friday,8,35,0,0,107.98
2013-08-31,493.0,1,5,Saturday,8,35,1,0,107.98
2013-09-01,711.0,1,6,Sunday,9,35,1,0,107.98
2013-09-02,583.0,1,0,Monday,9,36,0,0,107.98
2013-09-03,345.0,1,1,Tuesday,9,36,0,0,108.67
2013-09-04,670.0,1,2,Wednesday,9,36,0,0,107.29
2013-09-05,331.0,1,3,Thursday,9,36,0,0,108.5
2013-09-06,415.0,1,4,Friday,9,36,0,0,110.62
2013-09-07,791.0,1,5,Saturday,9,36,1,0,110.62
2013-09-08,786.0,1,6,Sunday,9,36,1,0,110.62
2013-09-09,541.0,1,0,Monday,9,37,0,0,109.62
2013-09-10,342.0,1,1,Tuesday,9,37,0,0,107.48
2013-09-11,435.0,1,2,Wednesday,9,37,0,0,107.65
2013-09-12,621.0,1,3,Thursday,9,37,0,0,108.72
2013-09-13,323.0,1,4,Friday,9,37,0,0,108.31
2013-09-14,632.0,1,5,Saturday,9,37,1,0,108.31
2013-09-15,710.0,1,6,Sunday,9,37,1,0,108.31
2013-09-16,524.0,1,0,Monday,9,38,0,0,106.54
2013-09-17,314.0,1,1,Tuesday,9,38,0,0,105.36
2013-09-18,414.0,1,2,Wednesday,9,38,0,0,108.23
2013-09-19,372.0,1,3,Thursday,9,38,0,0,106.26
2013-09-20,346.0,1,4,Friday,9,38,0,0,104.7
2013-09-21,726.0,1,5,Saturday,9,38,1,0,104.7
2013-09-22,866.0,1,6,Sunday,9,38,1,0,104.7
2013-09-23,516.0,1,0,Monday,9,39,0,0,103.62
2013-09-24,306.0,1,1,Tuesday,9,39,0,0,103.22
2013-09-25,486.0,1,2,Wednesday,9,39,0,0,102.68
2013-09-26,428.0,1,3,Thursday,9,39,0,0,103.1
2013-09-27,370.0,1,4,Friday,9,39,0,0,102.86
2013-09-28,609.0,1,5,Saturday,9,39,1,0,102.86
2013-09-29,764.0,1,6,Sunday,9,39,1,0,102.86
2013-09-30,416.0,1,0,Monday,9,40,0,0,102.36
2013-10-01,336.0,1,1,Tuesday,10,40,0,0,102.09
2013-10-02,407.0,1,2,Wednesday,10,40,0,0,104.15
2013-10-03,303.0,1,3,Thursday,10,40,0,0,103.29
2013-10-04,550.0,1,4,Friday,10,40,0,0,103.83
2013-10-05,678.0,1,5,Saturday,10,40,1,0,103.83
2013-10-06,719.0,1,6,Sunday,10,40,1,0,103.83
2013-10-07,515.0,1,0,Monday,10,41,0,0,103.07
2013-10-08,346.0,1,1,Tuesday,10,41,0,0,103.54
2013-10-09,601.0,1,2,Wednesday,10,41,0,1,101.63
2013-10-10,277.0,1,3,Thursday,10,41,0,0,103.08
2013-10-11,221.0,1,4,Friday,10,41,0,1,102.17
2013-10-12,558.0,1,5,Saturday,10,41,1,0,102.17
2013-10-13,485.0,1,6,Sunday,10,41,1,0,102.17
2013-10-14,276.0,1,0,Monday,10,42,0,0,102.46
2013-10-15,345.0,1,1,Tuesday,10,42,0,0,101.15
2013-10-16,396.0,1,2,Wednesday,10,42,0,0,102.34
2013-10-17,329.0,1,3,Thursday,10,42,0,0,100.72
2013-10-18,427.0,1,4,Friday,10,42,0,0,100.87
2013-10-19,737.0,1,5,Saturday,10,42,1,0,100.87
2013-10-20,904.0,1,6,Sunday,10,42,1,0,100.87
2013-10-21,394.0,1,0,Monday,10,43,0,0,99.28
2013-10-22,351.0,1,1,Tuesday,10,43,0,0,97.63
2013-10-23,310.0,1,2,Wednesday,10,43,0,0,96.9
2013-10-24,384.0,1,3,Thursday,10,43,0,0,96.65
2013-10-25,297.0,1,4,Friday,10,43,0,0,97.4
2013-10-26,531.0,1,5,Saturday,10,43,1,0,97.4
2013-10-27,801.0,1,6,Sunday,10,43,1,0,97.4
2013-10-28,297.0,1,0,Monday,10,44,0,0,98.74
2013-10-29,352.0,1,1,Tuesday,10,44,0,0,98.29
2013-10-30,497.0,1,2,Wednesday,10,44,0,0,96.81
2013-10-31,224.0,1,3,Thursday,10,44,0,0,96.29
2013-11-01,375.0,1,4,Friday,11,44,0,0,94.56
2013-11-02,549.0,1,5,Saturday,11,44,1,1,94.56
2013-11-03,860.0,1,6,Sunday,11,44,1,1,94.56
2013-11-04,406.0,1,0,Monday,11,45,0,0,94.58
2013-11-05,475.0,1,1,Tuesday,11,45,0,0,93.4
2013-11-06,295.0,1,2,Wednesday,11,45,0,0,94.74
2013-11-07,389.0,1,3,Thursday,11,45,0,0,94.25
2013-11-08,379.0,1,4,Friday,11,45,0,0,94.56
2013-11-09,644.0,1,5,Saturday,11,45,1,0,94.56
2013-11-10,695.0,1,6,Sunday,11,45,1,0,94.56
2013-11-11,612.0,1,0,Monday,11,46,0,0,95.13
2013-11-12,314.0,1,1,Tuesday,11,46,0,0,93.12
2013-11-13,343.0,1,2,Wednesday,11,46,0,0,93.91
2013-11-14,295.0,1,3,Thursday,11,46,0,0,93.76
2013-11-15,400.0,1,4,Friday,11,46,0,0,93.8
2013-11-16,683.0,1,5,Saturday,11,46,1,0,93.8
2013-11-17,921.0,1,6,Sunday,11,46,1,0,93.8
2013-11-18,447.0,1,0,Monday,11,47,0,0,93.03
2013-11-19,401.0,1,1,Tuesday,11,47,0,0,93.35
2013-11-20,481.0,1,2,Wednesday,11,47,0,0,93.34
2013-11-21,199.0,1,3,Thursday,11,47,0,0,95.35
2013-11-22,419.0,1,4,Friday,11,47,0,0,94.53
2013-11-23,519.0,1,5,Saturday,11,47,1,0,94.53
2013-11-24,702.0,1,6,Sunday,11,47,1,0,94.53
2013-11-25,282.0,1,0,Monday,11,48,0,0,93.86
2013-11-26,274.0,1,1,Tuesday,11,48,0,0,93.41
2013-11-27,474.0,1,2,Wednesday,11,48,0,0,92.05
2013-11-28,258.0,1,3,Thursday,11,48,0,0,92.05
2013-11-29,363.0,1,4,Friday,11,48,0,0,92.55
2013-11-30,726.0,1,5,Saturday,11,48,1,0,92.55
2013-12-01,736.0,1,6,Sunday,12,48,1,0,92.55
2013-12-02,421.0,1,0,Monday,12,49,0,0,93.61
2013-12-03,493.0,1,1,Tuesday,12,49,0,0,95.83
2013-12-04,454.0,1,2,Wednesday,12,49,0,0,96.97
2013-12-05,265.0,1,3,Thursday,12,49,0,0,97.14
2013-12-06,388.0,1,4,Friday,12,49,0,0,97.48
2013-12-07,504.0,1,5,Saturday,12,49,1,0,97.48
2013-12-08,477.0,1,6,Sunday,12,49,1,0,97.48
2013-12-09,378.0,1,0,Monday,12,50,0,0,97.1
2013-12-10,330.0,1,1,Tuesday,12,50,0,0,98.32
2013-12-11,508.0,1,2,Wednesday,12,50,0,0,97.25
2013-12-12,502.0,1,3,Thursday,12,50,0,0,97.21
2013-12-13,367.0,1,4,Friday,12,50,0,0,96.27
2013-12-14,547.0,1,5,Saturday,12,50,1,0,96.27
2013-12-15,621.0,1,6,Sunday,12,50,1,0,96.27
2013-12-16,322.0,1,0,Monday,12,51,0,0,97.18
2013-12-17,496.0,1,1,Tuesday,12,51,0,0,96.99
2013-12-18,532.0,1,2,Wednesday,12,51,0,0,97.59
2013-12-19,455.0,1,3,Thursday,12,51,0,0,98.4
2013-12-20,441.0,1,4,Friday,12,51,0,0,99.11
2013-12-21,630.0,1,5,Saturday,12,51,1,1,99.11
2013-12-22,985.0,1,6,Sunday,12,51,1,1,99.11
2013-12-23,523.0,1,0,Monday,12,52,0,1,98.62
2013-12-24,365.0,1,1,Tuesday,12,52,0,1,98.87
2013-12-25,0.0,0,2,Wednesday,12,52,0,1,98.87
2013-12-26,418.0,1,3,Thursday,12,52,0,1,99.18
2013-12-27,419.0,1,4,Friday,12,52,0,0,99.94
2013-12-28,499.0,1,5,Saturday,12,52,1,0,99.94
2013-12-29,552.0,1,6,Sunday,12,52,1,0,99.94
2013-12-30,595.0,1,0,Monday,12,1,0,0,98.9
2013-12-31,436.0,1,1,Tuesday,12,1,0,1,98.17
2014-01-01,0.0,0,2,Wednesday,1,1,0,1,98.17
2014-01-02,589.0,1,3,Thursday,1,1,0,0,95.14
2014-01-03,474.0,1,4,Friday,1,1,0,0,93.66
2014-01-04,767.0,1,5,Saturday,1,1,1,0,93.66
2014-01-05,1203.0,1,6,Sunday,1,1,1,0,93.66
2014-01-06,399.0,1,0,Monday,1,2,0,0,93.12
2014-01-07,498.0,1,1,Tuesday,1,2,0,0,93.31
2014-01-08,561.0,1,2,Wednesday,1,2,0,0,91.9
2014-01-09,239.0,1,3,Thursday,1,2,0,0,91.36
2014-01-10,438.0,1,4,Friday,1,2,0,0,92.39
2014-01-11,619.0,1,5,Saturday,1,2,1,0,92.39
2014-01-12,533.0,1,6,Sunday,1,2,1,0,92.39
2014-01-13,443.0,1,0,Monday,1,3,0,0,91.45
2014-01-14,440.0,1,1,Tuesday,1,3,0,0,92.15
2014-01-15,360.0,1,2,Wednesday,1,3,0,0,93.78
2014-01-16,1168.0,1,3,Thursday,1,3,0,0,93.54
2014-01-17,506.0,1,4,Friday,1,3,0,0,93.96
2014-01-18,720.0,1,5,Saturday,1,3,1,0,93.96
2014-01-19,561.0,1,6,Sunday,1,3,1,0,93.96
2014-01-20,391.0,1,0,Monday,1,4,0,0,93.96
2014-01-21,421.0,1,1,Tuesday,1,4,0,0,94.51
2014-01-22,519.0,1,2,Wednesday,1,4,0,0,96.35
2014-01-23,231.0,1,3,Thursday,1,4,0,0,97.23
2014-01-24,263.0,1,4,Friday,1,4,0,0,96.66
2014-01-25,789.0,1,5,Saturday,1,4,1,0,96.66
2014-01-26,698.0,1,6,Sunday,1,4,1,0,96.66
2014-01-27,310.0,1,0,Monday,1,5,0,0,95.82
2014-01-28,332.0,1,1,Tuesday,1,5,0,0,97.49
2014-01-29,405.0,1,2,Wednesday,1,5,0,0,97.34
2014-01-30,323.0,1,3,Thursday,1,5,0,0,98.25
2014-01-31,456.0,1,4,Friday,1,5,0,0,97.55
2014-02-01,732.0,1,5,Saturday,2,5,1,0,97.55
2014-02-02,704.0,1,6,Sunday,2,5,1,0,97.55
2014-02-03,395.0,1,0,Monday,2,6,0,0,96.44
2014-02-04,313.0,1,1,Tuesday,2,6,0,0,97.24
2014-02-05,463.0,1,2,Wednesday,2,6,0,0,97.4
2014-02-06,301.0,1,3,Thursday,2,6,0,0,97.84
2014-02-07,289.0,1,4,Friday,2,6,0,0,99.98
2014-02-08,678.0,1,5,Saturday,2,6,1,0,99.98
2014-02-09,731.0,1,6,Sunday,2,6,1,0,99.98
2014-02-10,370.0,1,0,Monday,2,7,0,0,100.12
2014-02-11,440.0,1,1,Tuesday,2,7,0,0,99.96
2014-02-12,409.0,1,2,Wednesday,2,7,0,0,100.38
2014-02-13,310.0,1,3,Thursday,2,7,0,0,100.27
2014-02-14,258.0,1,4,Friday,2,7,0,0,100.31
2014-02-15,650.0,1,5,Saturday,2,7,1,0,100.31
2014-02-16,583.0,1,6,Sunday,2,7,1,0,100.31
2014-02-17,506.0,1,0,Monday,2,8,0,0,100.31
2014-02-18,506.0,1,1,Tuesday,2,8,0,0,102.54
2014-02-19,392.0,1,2,Wednesday,2,8,0,0,103.46
2014-02-20,296.0,1,3,Thursday,2,8,0,0,103.2
2014-02-21,393.0,1,4,Friday,2,8,0,0,102.53
2014-02-22,809.0,1,5,Saturday,2,8,1,0,102.53
2014-02-23,714.0,1,6,Sunday,2,8,1,0,102.53
2014-02-24,338.0,1,0,Monday,2,9,0,0,103.17
2014-02-25,453.0,1,1,Tuesday,2,9,0,0,102.2
2014-02-26,388.0,1,2,Wednesday,2,9,0,0,102.93
2014-02-27,587.0,1,3,Thursday,2,9,0,0,102.68
2014-02-28,346.0,1,4,Friday,2,9,0,0,102.88
2014-03-01,714.0,1,5,Saturday,3,9,1,0,102.88
2014-03-02,410.0,1,6,Sunday,3,9,1,0,102.88
2014-03-03,408.0,1,0,Monday,3,10,0,1,105.34
2014-03-04,648.0,1,1,Tuesday,3,10,0,1,103.64
2014-03-05,367.0,1,2,Wednesday,3,10,0,0,101.75
2014-03-06,492.0,1,3,Thursday,3,10,0,0,101.82
2014-03-07,410.0,1,4,Friday,3,10,0,0,102.82
2014-03-08,572.0,1,5,Saturday,3,10,1,0,102.82
2014-03-09,731.0,1,6,Sunday,3,10,1,0,102.82
2014-03-10,437.0,1,0,Monday,3,11,0,0,101.39
2014-03-11,509.0,1,1,Tuesday,3,11,0,0,100.29
